,keywords,id,year,_realpage,_sentiment,_description,_place,_title,_publisher,_date
10,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0070,70,70,neutral,"
58 
Der in der Mitte Stehende darf nicht sehen, wo sich der Ring 
gerade befindet. Auf sein „Halt"" müssen alle die Hände ruhig 
halten, und der Suchende berührt diejenigen, in welchen er gerade 
den Ring vermutet; findet er ihn dann wirklich, so muß der, bei 
dem er gefunden worden ist, in die Mitte des Kreises und suchen; 
gelingt es ihm nicht, muß er weiter suchen, bis er ihn findet. 
Wessen Auge ist cs? 
Es wird soviel Zei 
tungspapier zusammengc- 
klebt oder geheftet, daß es 
die Öffnung einer einseitigen 
Thür deckt. In derselben 
wird das Papier mit Reiß 
nägeln befestigt. Einer geht 
vor die Papierwand, die 
andern bleiben hinter der 
selben. Dann wird ein Loch 
in der Größe eines Auges 
und in der Höhe des Klein 
sten aus der Gesellschaft 
in das Papier geschnitten. 
Nacheinander [...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
11,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0027,30,27,neutral,"
x 
\ 
immer nur mit dem Kleinsten; die 
Größeren glauben auch ein An 
recht zu haben, daß sie sich ihnen 
widmet und warten schon mit Un 
geduld, bis das Kleinste schläft. 
Auch jetzt soll unser Buch die Mutter an die mancherlei 
Unterhaltungen erinnern, welche ihr in der Jugendzeit den 
Abend verkürzen halfen. Die Kinder sollen aber das alles, 
was ihnen gezeigt wird, mit der Zeit selbst machen 
lernen, damit sie sich später allein unterhalten können. So 
folgen nun hier Beschreibungen solch beliebter Kunststücke 
und Handfertigkeiten. 
Handschattcn. 
Zu dieser Belustigung wird eine weiße 
Serviette vor die Thür des Zimmers mit 
Reißnägeln 
befestigt 
und statt . , ",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
12,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0031,40,31,neutral,"
19 
Mutter: Das ist hier 'ne Ente wild und das ist das letzte Bild. 
Alle: Ja das ist 'ne Ente wild und das ist das letzte Bild. 
O ihr schönen, v ihr schönen Schattenbilder an der Wand. 
Der Bllchfächcr. 
Der Fächer wird aus einem nicht zu starken Buch hergestellt; 
jedes einzelne Blatt desselben wird nach innen zurückgebogen, 
so das; die Blätter röhren gleich, hohl dastehen. Hieraus werden 
die Deckel nach außen zusammengeilvmmen und mit der Hand 
fcstgehalten; das Ganze wird dann, wie Abbildung 25 zeigt, einem 
Fächer ähnlich sehen. ",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
13,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0089,90,89,neutral,"
77 
So hat denn der Frühling begonnen und die Kinder sind von 
jetzt ab täglich im Freien; hier geben Sand und Steinchen, 
Blatt und Blüte soviel Anregung zu Spielen aller Art, daß sie 
zu ihrer Unterhaltung dorthin nur wenig Spielgeräte aus der 
Kinderstube mitnehmen. 
Spiele am Sandhaufen. 
Alle Kinder spielen gern im Sand und, weil das nebenbei 
auch eine sehr gesunde Beschäftigung ist, so finden wir jetzt fast auf 
jedem Spielplatz einen mächtigen Sandhaufen. Hier kann man 
nach Lust bauen und graben. Die Knaben werden am liebsten 
Festungen und Ritterburgen Herstellen, während sich die Mäd 
chen an Gärtchen u. dergl. 
erfreuen. 
Um eine Ritterburg zu 
machen, muß man vorher allen 
Sand zu einem möglichst hohen 
Berg mit einer Holzschaufel 
anhäufen und recht fest klopfen. 
Mit der Ha[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
14,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0123,130,123,neutral,"
Versteckspicl mit Anschlägen. 
Es wird durch Auszählen bestimmt, wer von den Mitspieleu- 
den die Versteckten zu suchen hat. Der Sucher stellt sich jetzt 
mit dem Gesicht gegen eine Wand, hält sich die Hände vor die 
Augen und zählt langsam bis zehn. Sodann ruft er: „Eins, zwei, 
drei, wer nicht versteckt ist, der ist's gleich."" Nach diesen Worten 
beginnt er zu suchen, denn die andern Mitspielenden haben sich 
inzwischen versteckt. Jeder, den der Sucher findet, wird abge 
packt, d. h. der Sucher läuft schnell zu seinem Wandplätzchen zu 
rück und schlägt dreimal an die Wand. Erreicht dagegen der 
Gefangene zuerst dieses Mal und schlügt dreimal an, so ist er 
frei. Der zuletzt Gefangene wird im nächsten Spiel Sucher. 
Plumpsackspicl. 
Die Mitspielenden stelle» sich mit den Händen auf dem R[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
15,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0066,70,66,neutral,"
54 
sich die Mitspielenden, statt mit ihren eigenen, mit vorher be 
stimmten Tier- oder Pflanzennamen rufen. 
Hopsa, hopsa, hopsassa. 
Die Kinder stellen sich bei diesem Spiel einzeln hintereinander 
auf, nur das vorderste von ihnen steht mit seinem Gesicht dem 
zweiten gegenüber und beginnt zu fragen, indem es dazu im Takt 
in die Höhe hüpft: 
Hopsa, hopsa, hopsassa, 
Was macht die Frau von Tralala? 
worauf das zweite, gleichfalls hüpfend, antwortet: 
Ich dank', ich dank', ich danke schön, 
Ich wcrd' mich gleich erkund'gen geh'n. 
Nun dreht sich das zweite um und stellt, ebenso hüpfend, seiner 
seits die Frage an das dritte, wahrend das erste immer weiter 
hüpft. So wird fortgefahren, bis die ganze Gesellschaft eins das 
andre gefragt hat und im Takt dazu hüpft. Wer früher damit 
aufhört[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
16,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0088,90,88,neutral,"
76 
Und ist dann der Abend gekommen, 
Dann gehen wir fröhlich nach Hans', 
Dann sinnen wir andere Spiele 
Auf morgen uns wiederum aus. 
Ostern ist ein Fest, das nicht nur die Menschen feiern, auch 
die ganze Natur feiert es: der Frühling hält seinen Einzug und 
schmückt die Erde mit neuem Grün und neuen Blumen, die Vögel 
kehren wieder, bauen ihre Nester und überall erwacht neues Leben. 
Auch die Hühner auf dem Hof erinnern sich ihrer Pflicht, die 
sie im Winter versäumt hatten, und beginnen wieder Eier zu 
legen. Zu Ostern aber versteckt die Mutter schön buntgefärbte 
Eier für die Kinder, die diese denn überall in Haus und Garten 
suchen müssen. Um die Eier aber bunt zu färben, verfahren 
die Kinder, die doch gern dabei helfen wollen, folgendermaßen: 
Um sie braun zu färben, nehmen sie Z[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
17,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0122,130,122,neutral,"
110 
Daß dich färbt die rote Tinte 
Und dann bist du tot. 
Liebes Füchslein laß dir raten, 
Sei doch nur kein Dieb; 
Nimm, du brauchst nicht Gänsebraten, 
Mir der Maus vorlicb. 
Nimm, du brauchst nicht Gänsebraten, 
Mit der Maus vorlieb. 
Der Fuchs scheint bekehrt, er schleicht aus dem Kreis, der 
Jäger aber traut ihm nicht und singt, während sich dieser eine 
neue Gans aussucht und mit ihr davonläuft: 
Seht euch nicht um, der Fuchs geht 'rum, 
Er ist ein schlaues Tier, 
Er trinkt nicht Bier, er trinkt nicht Wein, 
D'rum heißt er auch das Füchselein. 
Seht euch nicht um, der Fuchs geht 'rum. 
Sobald er ausgesungen hat, läuft der Jäger dem Fuchs nach, 
um ihm die gestohlene Gans abzujagen. Die noch im Kreis 
stehenden Ankläger singen währenddessen folgende Melodie: 
Der schlaue Fuchs, der [...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
18,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0067,70,67,neutral,"
55 
Nix in der Grube, 
Du bist ein loser Bube, 
Wasche deine Beinelein, 
Mit silbergoldnen Steinelcin, 
Nix greif zu. 
Bei diesen letzten Worten hascht der Nix, ohne sich von seinem 
Platz zn erheben, nach einem aus dem Kreis. Gelingt es ihm, 
jemand zu fangen, so ist er erlöst und der andre wird Nix. 
Ich sehe was, was du nicht sichst. 
Einer aus der Gesellschaft lvird zum Frager gewählt. Dieser 
muß sich irgend einen Gegenstand aus dem Zimmer, welchen 
er erraten lassen will, heimlich merken. Nachdem sich die andern 
in einen Kreis gesetzt haben, beginnt er, indem er sich vor einen 
beliebigen Mitspielenden hinstellt: „Ich sehe was, was du nicht 
siehst"" und nennt dabei die Farbe des gemerkten Gegenstandes. 
Weiß ihm der Gefragte denselben nicht zu nennen, geht er weiter. 
Hat er den ga[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
19,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0030,30,30,neutral,"
18 
Mutter: Das ist hier ein Esclcin und das ist ein Kopf vom Schweiin 
Alle: Ja das ist ein Eselein und das ist ein Kopf vom Schwein. 
O ihr schonen, o ihr schönen Schattenbilder an der Wand. 
Mutter: Das ist hier ein Adlerkopf, das ist ciu Jndiancrschopf. 
Alle: Ja das ist ein Adlerkopf, das ist ein Jndiancrschopf. 
O ihr schönen, o ihr schönen Schattenbilder au der Wand. 
Mutter: Das ist hier ein Mann mit Bart und das ist ein Häschen zart. 
Alle: Ja das ist ein Mann mit Bart und das ist ein Häschen zart. 
O ihr schönen, o ihr schönen Schattenbilder an der Wand. ",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
20,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0026,30,26,neutral,"
14 
Schlaf, Kindlein, schlaf, 
Dein Vater hüt't die Schaf, 
Deine Mutter hüt't die Lämmclein, 
Schlaf du gold'ges Engelcin, 
Schlaf, Kindlein, schlaf. 
Und so endet ein Tag in dem Leben unsres Kleinsten, wie 
der'andere, bis es mit der Zeit heranwächst und schon mehr und 
mehr an den Spielen seiner größeren Geschwister teilnehmen kann. 
Bis es aber so weit ist, bleibt ihm doch immer die Mutter der 
beste Spielkamerad. Der beste, denn sie ist der geduldigste 
und wird nicht müde, immer wieder dieselben Spiele mit dem 
kleinen Liebling zu spielen und ihm immer wieder dieselben 
Berschen vorzusprechen. Denn während die größeren Kinder nur 
zu bald anfaugen gelangweilt zu werden, wenn sie sich längere 
Zeit mit einer Sache beschäftigen sollen, so haben kleine Kinder 
stundenlang an denselben [...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
21,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891",PPN745143385_PHYS_0134,140,134,,Keine OCR-Ergebnisse vorhaben.,Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
22,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0071,80,71,neutral,"
59 
Sobald der Erzählende nun ein solches Wort nennt, muß der 
jenige anfstehen und sich einmal um sich selber drehen, der jenes 
Wort erhalten hatte. Wer es verfehlt, bekommt Schläge mit dem 
Plumpsack und muß ein Pfand zahlen. Bei dem Wort: „Jeru 
salem"" müssen sich alle erheben und einmal herumdrehen. 
Die Baumschule. 
Man sitzt hierbei um den Tisch. Ein Erwachsener nennt 
allerlei Bäume, wie Eiche, Linde, Birke, Kastanie u. s. w. 
Ist ein Baum unter den genannten, der eßbare Früchte trägt, 
so müssen alle den Zeigefinger an den Mund legen. Wer es ver 
säumt oder die Bäume verwechselt, muß natürlich als Strafe ein 
Pfand hergeben. 
Suppe. 
Es wird eine Geschichte erzählt, in welcher das Wort „Suppe"" 
oft vorkommt. Jedesmal, wenn man das Wort hört, muß man mit 
dem Zeigefinger auf ein S[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
23,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0118,120,118,neutral,"
106 
Schäfer, bind' dein Hündlcin an, 
Daß es mich nicht beißen kann. 
Beißt es mich, so straf ich dich, 
Einen Gulden dreißig. 
l, 2, 3, 4, 5, 6, 7, 
Meine Mutter kochte Rüben, 
Meine Mutter kochte Speck, 
Ich oder du bleibst weg. 
1, 2, 3, 4, 
Stand ein Männlein vor der Thür, 
Hat ein Gläslein in der Hand, 
Pink, pauk, Zuckcrkant. 
Enje denje dicken dackcn, 
Ziber, de bibcr, de Kode knacken, 
Hiber de Biber de buff. 
Eue, mene, ming, mang, 
Kling, Klang, 
Ose, Pose, packe dich, 
Eier Weiher weg. 
Hund und Hase. 
Eins der Kinder wird durch Abzählen zum Hund bestimmt. 
Die übrigen zerstreuen sich als Hasen in einem zu diesem Jagd 
spiel bestimmt abgegrenzten Raum. Weil nun der Hund einfängt, 
oder wer den Spielplatz überschreitet, wird Hund und muß jetzt 
die andern Hasen fangen helfen. D[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
24,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0084,90,84,neutral,"
Rätsel. 
Damit sich aber die Kinder beim Nachhausegehen nicht er 
kälten, setzt sich die ganze Gesellschaft noch zum Schluß still hin 
und ein Erwachsener gibt Rätsel auf. Hier folgen nun einige 
solcher leichten Rätsel: 
_ 1 , 
Als Königin thron' ich, 
Im Korbe wohn' ich? 
2 
Es ist keine Lampe, gibt Licht, 
Es ist keine Nadel und sticht? 
3. 
Es ist bald groß und ist bald klein 
Und schützt gegen Regen und Sonnenschein? 
4. 
Es summt und brummt, 
Es lebt und schwebt, 
Doch nach dem Mai, 
Da ist's vorbei? 
5. 
Im Hause schließ' ich Thür und Thor 
Und lege mich auch oft davor. 
Auch bin ich selbst ein Haus, mein Kind, 
Nun rate mich^inmal geschwind? 
6. 
Sag' an, wie man es nennt, 
Es' bläst und hat kein Instrument, 
Es heult und ist kein Tier, 
Tu sichst cs nicht und doch ist's hier? 
7.[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
25,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0092,100,92,neutral,"
80 
Tipp, tipp, tapp, 
Spring' von der Wand schnell ab, 
Dich zu fangen ist mein Sinn, 
Einmal, zweimal, dreimal, 
Viermal, fünfmal, sechsmal, 
Bis ich nun Geselle bin. 
Tipp, tipp, tapp, 
Spring' von der Wand hoch ab, 
Dich zu fangen ist mein Sinn, 
Einmal, zweimal, dreimal, 
Viermal, fünfmal, sechsmal, 
Siebenmal, achtmal, neunmal, 
Zehnmal, clfmal, zwölsmal, 
Bis ich nun ein Meister bin. 
Während man 
bei dieseiit 
Meister- 
ball- 
spicl 
die 
Strophen 
spricht, wird für 
den Lehrling dreimal, für den Gesellen sechsmal und 
für den Meister zwölfmal hintereinander an die Wand 
geworfen; ohne den Ball einmal auf die Erde fallen 
zu lassen, muß er gefangen werden. Gelingt das nicht, 
so beginnt das Spiel wieder von neuem. 
Will man noch eine weitere Schwierigkeit bei diesem Spiel 
'einfüh[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
26,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891",PPN745143385_PHYS_0006,10,6,,Keine OCR-Ergebnisse vorhaben.,Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
27,"PPN745143385,Leipzig,Illustriertes Spielbuch für Kinder,Spamer (Verlag),1891,neutral (Sentiment)",PPN745143385_PHYS_0051,60,51,neutral,"
39 
man vorher auf den ganzen Faden gezogen hat und fädelt wiederum 
die Schlußperle über beide Nadeln n. s. w. Auch hier ist ein 
Muster leicht zu gewinnen, da man nach jeder Schlußperle eine 
andre Farbe wählen kann; natürlich muß die Wahl eine gc- 
fch mackvolle sein, so daß nur solche Farben, die zu einander 
passen, nebeneinander gefädelt sind. 
Abbildung 73 zeigt die Hälfte einer Kette, die 
um den Hals geschlungen werden kann. Sie wird 
aus vier zusammengeknoteten Fäden hergestellt, und 
zwar fädelt man auf jeden dieser Fäden eine gleiche, 
nicht zu kleine Reihe Perlen, die man durch eine 
große Perle, durch welche die vier mit Perlen be 
zogenen Fäden hindurchgezogeu werden, schließt, 
um wieder das Perlenaufziehen in 
gleicher Weise aufs neue zu beginnen. 
Der Schluß ist an jedem[...]",Leipzig,Illustriertes Spielbuch für Kinder,Spamer,1891
